ID,Startzeit,Fertigstellungszeit,E-Mail,Name,Zeitpunkt der letzten Änderung,"Durch Ankreuzen des Kästchens erkläre ich mich damit einverstanden, dass meine Antworten für die Datenerhebung im Rahmen der oben beschriebenen Bachelorarbeit verwendet werden dürfen.
      ","Wie alt sind Sie?
","Welches Geschlecht haben Sie?
","Wie lange gehen Sie bereits Ihrem Beruf als Ärztin/Arzt nach?
","Bei was für einer Einrichtung sind Sie derzeit (schwerpunktmäßig) angestellt?
","Wie würden Sie den Standort der Einrichtung, in der sie arbeiten, einordnen? Handelt es sich eher um ein ländliches, städtisches oder vorstädtisches Gebiet?
","Welche Position haben Sie derzeit inne?      
",Welches Arbeitsmodell verfolgen Sie derzeit?      ,"Wie hoch ist Ihre tatsächliche Wochenarbeitszeit inklusive aller Dienste und Überstunden im Durchschnitt?
","Werden Ihre Überstunden überwiegend vergütet oder mit Freizeit ausgeglichen?      
","Wie beurteilen Sie Ihre derzeitigen Arbeitsbedingungen?
","Wie beurteilen Sie die personelle Besetzung im ärztlichen Dienst in Ihrer Einrichtung?
","Wie haben sich Ihre Arbeitsbedingungen seit der COVID-19-Pandemie entwickelt?
","Wurden seit der Covid-19 Pandemie neue oder zusätzliche Maßnahmen ergriffen, um Ihre Arbeitssituation und -bedingungen zu verbessern (z.B. Angebot von alternativen Arbeitszeitenmodellen, spezielle...","Wenn ja, welche Maßnahmen wurden getroffen?
","Ich empfinde es als angenehm, bei meinem Arbeitgeber zu arbeiten","Ich fühle mich mit meinem Arbeitgeber persönlich verbunden
","Ich fände es persönlich schade, wenn die Beschäftigung bei meinem Arbeitgeber beendet werden würde","Ich kann mich mit meinem Arbeitgeber und den Produkten/Dienstleistungen identifizieren
      ","Meine persönlichen Kontakte zu meinem Arbeitsumfeld sind für mich von Bedeutung
","In gewisser Weise bindet mich der für einen Wechsel benötigte Zeitaufwand an meinen Arbeitgeber
","Ich bin auf meinen Arbeitgeber angewiesen, weil es zurzeit keine gleichwertigen Alternativen am Markt gibt","Ich empfinde eine Bindung an meinen Arbeitgeber, weil bei einem Wechsel der von mir investierte Aufwand an Wert verlieren würde","Ich fühle mich an meinen Arbeitgeber gebunden, weil ein Wechsel mit Wechselkosten einhergehen würde","Es wäre nicht fair, die Beziehung mit meinem Arbeitgeber aufzukündigen, weil er sich stets um mich als Arbeitnehmer bemüht hat",Aufgrund der langen Beziehung mit meinem Arbeitgeber fühle ich mich zu einer gewissen Rücksichtnahme verpflichtet,Ich fühle mich in der Angestelltenbeziehung mit dem Arbeitgeber zur Fairness verpflichtet,Moralische Verpflichtungen gegenüber dem Arbeitgeber spielen für mich auch eine Rolle,Ich bin vertraglich an meinen Arbeitgeber gebunden,Mein Arbeitsvertrag schafft faire Rahmenbedingungen für meine Arbeit ,Mein Arbeitsvertrag stellt eine gerechte monetärere Kompensation sicher,Ich würde gerne Teile meines Arbeitsvertrages anpassen
20,2/22/24 17:46:30,2/22/24 17:51:02,anonymous,,,Einverstanden,36,Männlich,6 - 10 Jahre,Universitätsklinikum,Städtisch (urban),Fachärztin/arzt,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Mittelmäßig,Weder noch,Ja,"Weiterbildungmöglichkeiten erhöht, Schutzmaßnahmen verstärkt",4,3,4,4,4,3,1,3,3,3,2,4,3,4,3,3,4
21,2/22/24 20:51:25,2/22/24 20:55:33,anonymous,,,Einverstanden,61 Jahre,Männlich,> 20 Jahre,Kirchliches Krankenhaus,Ländlich (rural),Oberärztin/arzt,Vollzeit,49 - 59 h,Überwiegend vergütet,Mittelmäßig,Mittelmäßig,Verschlimmert,Nein,,3,3,4,3,4,4,4,4,4,2,3,4,4,5,3,2,4
22,2/23/24 16:18:15,2/23/24 16:22:47,anonymous,,,Einverstanden,31,Weiblich,6 - 10 Jahre,Universitätsklinikum,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,60 - 79 h,Überwiegend vergütet,Schlecht,Mittelmäßig,Verschlimmert,Nein,,2,4,1,4,5,1,2,3,1,1,4,5,5,4,1,3,5
23,2/23/24 17:14:38,2/23/24 17:19:00,anonymous,,,Einverstanden,31,Weiblich,< 2 Jahre,Kirchliches Krankenhaus,Ländlich (rural),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Mittelmäßig,Mittelmäßig,Verschlimmert,Ja,,3,2,2,2,4,4,2,3,2,2,1,2,2,3,1,3,5
24,2/26/24 9:02:46,2/26/24 9:11:54,anonymous,,,Einverstanden,33,Weiblich,6 - 10 Jahre,Kirchliches Krankenhaus,Ländlich (rural),Fachärztin/arzt,Vollzeit,40 - 48 h,Überwiegend Freizeitausgleich,Mittelmäßig,Schlecht,Verschlimmert,Nein,,3,2,1,3,4,5,2,1,1,2,3,4,3,5,3,5,2
25,2/26/24 13:40:15,2/26/24 13:43:01,anonymous,,,Einverstanden,48,Männlich,> 20 Jahre,Universitätsklinikum,Städtisch (urban),Stellv. Chefärztin/arzt,Vollzeit,49 - 59 h,Weder noch,Mittelmäßig,Mittelmäßig,Weder noch,Nein,,2,1,2,3,4,2,1,3,1,2,2,3,3,3,2,3,3
26,2/26/24 13:41:03,2/26/24 13:43:44,anonymous,,,Einverstanden,31,Männlich,2 - 5 Jahre,Universitätsklinikum,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Gut,Weder noch,Nein,,4,3,4,4,5,1,3,3,1,1,1,4,4,3,4,2,5
27,2/26/24 13:50:50,2/26/24 13:54:12,anonymous,,,Einverstanden,28,Männlich,< 2 Jahre,Universitätsklinikum,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,60 - 79 h,Überwiegend Freizeitausgleich,Schlecht,Schlecht,Weder noch,Nein,,2,1,1,2,1,5,3,3,1,1,3,3,3,3,2,4,4
28,2/26/24 14:02:09,2/26/24 14:06:13,anonymous,,,Einverstanden,43,Männlich,16 - 20 Jahre,Kommunales Krankenhaus,Städtisch (urban),Stellv. Chefärztin/arzt,Vollzeit,60 - 79 h,Überwiegend vergütet,Mittelmäßig,Gut,Verschlimmert,Nein,,3,3,4,4,4,4,5,5,4,2,2,3,4,1,4,4,5
29,2/26/24 14:43:50,2/26/24 14:48:06,anonymous,,,Einverstanden,61,Weiblich,> 20 Jahre,Universitätsklinikum,Städtisch (urban),Chefärztin/arzt,Vollzeit,60 - 79 h,Überwiegend vergütet,Gut,Mittelmäßig,Verbessert,Nein,,3,3,4,2,4,5,4,4,4,4,4,4,4,3,3,4,3
30,2/26/24 15:32:22,2/26/24 15:35:02,anonymous,,,Einverstanden,37,Weiblich,11 - 15 Jahre,Universitätsklinikum,Vorstädtisch (suburban),Oberärztin/arzt,Vollzeit,60 - 79 h,Überwiegend vergütet,Mittelmäßig,Gut,Weder noch,Nein,,4,4,4,4,3,2,2,2,2,1,1,1,2,1,4,4,3
31,2/26/24 15:36:21,2/26/24 15:39:38,anonymous,,,Einverstanden,41,Männlich,11 - 15 Jahre,Kommunales Krankenhaus,Ländlich (rural),Chefärztin/arzt,Vollzeit,49 - 59 h,Weder noch,Gut,Gut,Weder noch,Nein,,4,4,5,4,3,2,1,2,3,5,3,4,4,4,4,5,2
32,2/26/24 15:44:15,2/26/24 15:47:36,anonymous,,,Einverstanden,43,Männlich,16 - 20 Jahre,Andere stationäre Einrichtung,Ländlich (rural),Oberärztin/arzt,Vollzeit,49 - 59 h,Weder noch,Sehr gut,Gut,Verschlimmert,Nein,,5,3,5,5,5,1,1,1,1,3,3,5,5,5,5,5,1
33,2/26/24 16:11:25,2/26/24 16:15:00,anonymous,,,Einverstanden,36,Männlich,11 - 15 Jahre,Universitätsklinikum,Städtisch (urban),Oberärztin/arzt,Vollzeit,60 - 79 h,Überwiegend vergütet,Gut,Mittelmäßig,Weder noch,Nein,--,4,3,2,4,3,1,2,2,4,1,1,2,2,2,4,4,5
34,2/26/24 16:25:14,2/26/24 16:27:11,anonymous,,,Einverstanden,28,Männlich,< 2 Jahre,Kirchliches Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,60 - 79 h,Weder noch,Mittelmäßig,Mittelmäßig,Verschlimmert,Nein,,3,1,1,1,3,2,1,4,4,1,1,1,1,3,1,1,5
35,2/26/24 16:34:35,2/26/24 16:37:32,anonymous,,,Einverstanden,25,Weiblich,< 2 Jahre,Kirchliches Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,40 - 48 h,Überwiegend vergütet,Gut,Schlecht,Weder noch,Nein,,4,1,5,3,5,4,2,2,1,1,1,4,3,3,2,3,4
36,2/26/24 17:31:30,2/26/24 17:34:03,anonymous,,,Einverstanden,29,Weiblich,2 - 5 Jahre,Universitätsklinikum,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,60 - 79 h,Überwiegend vergütet,Mittelmäßig,Mittelmäßig,Weder noch,Nein,,2,2,3,1,4,1,4,5,1,1,1,3,3,1,2,2,3
37,2/26/24 17:41:04,2/26/24 17:43:29,anonymous,,,Einverstanden,38,Weiblich,6 - 10 Jahre,Kommunales Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Mittelmäßig,Mittelmäßig,Verschlimmert,Ja,Token für Home Office,2,1,1,2,2,4,4,3,2,1,1,1,4,4,1,2,5
38,2/26/24 18:44:26,2/26/24 18:49:00,anonymous,,,Einverstanden,59,Männlich,> 20 Jahre,Krankenhaus in privater Trägerschaft,Städtisch (urban),Chefärztin/arzt,Vollzeit,60 - 79 h,Weder noch,Gut,Mittelmäßig,Verschlimmert,Ja,"neue Fort- und Weiterbildungsangebote, zusätzliche Einstellung von Physician Assistants, Delegation von administrativen Aufgaben auf andere Berufsgruppen",3,2,4,2,5,1,1,1,1,2,3,1,1,3,4,4,4
39,2/26/24 19:17:26,2/26/24 19:20:12,anonymous,,,Einverstanden,31,Weiblich,6 - 10 Jahre,Krankenhaus in privater Trägerschaft,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend vergütet,Gut,Gut,Verschlimmert,Nein,,3,2,3,3,4,3,1,3,1,2,1,4,5,4,4,5,3
40,2/26/24 19:30:31,2/26/24 19:36:52,anonymous,,,Einverstanden,33,Männlich,6 - 10 Jahre,Kommunales Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Schlecht,Verschlimmert,Nein,,4,3,4,4,5,1,1,4,1,3,3,5,3,2,4,4,4
41,2/26/24 19:51:47,2/26/24 19:55:46,anonymous,,,Einverstanden,38,Männlich,11 - 15 Jahre,Ambulante Einrichtung,Städtisch (urban),Fachärztin/arzt,Teilzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Gut,Verbessert,Ja,Programm zur Unterstützung der psychischen Gesundheit,5,5,5,5,5,2,2,2,3,4,3,4,4,1,4,3,3
42,2/26/24 20:18:06,2/26/24 20:19:50,anonymous,,,Einverstanden,43,Weiblich,16 - 20 Jahre,Ambulante Einrichtung,Ländlich (rural),Chefärztin/arzt,Vollzeit,40 - 48 h,Überwiegend vergütet,Sehr gut,Sehr gut,Weder noch,Ja,"Mehr Mitarbeiter, da ich der eigene Chef bin, geht es mir gut ",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
43,2/26/24 20:25:56,2/26/24 20:29:19,anonymous,,,Einverstanden,38,Weiblich,11 - 15 Jahre,Universitätsklinikum,Städtisch (urban),Fachärztin/arzt,Teilzeit,30 - 39 h,Überwiegend vergütet,Gut,Mittelmäßig,Weder noch,Nein,,3,4,4,4,4,3,1,2,2,2,2,5,4,3,3,3,3
44,2/26/24 21:25:20,2/26/24 21:28:46,anonymous,,,Einverstanden,35,Weiblich,2 - 5 Jahre,Kommunales Krankenhaus,Ländlich (rural),Fachärztin/arzt,Vollzeit,49 - 59 h,Weder noch,Mittelmäßig,Gut,Verschlimmert,Nein,,3,3,4,4,4,4,4,5,2,2,3,4,4,2,4,3,5
45,2/26/24 21:44:27,2/26/24 21:47:11,anonymous,,,Einverstanden,32,Weiblich,6 - 10 Jahre,Kirchliches Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Teilzeit,49 - 59 h,Überwiegend Freizeitausgleich,Mittelmäßig,Schlecht,Verschlimmert,Nein,,2,2,2,1,5,2,1,1,1,1,2,3,3,4,2,4,1
46,2/26/24 22:23:35,2/26/24 22:26:42,anonymous,,,Einverstanden,30,Weiblich,2 - 5 Jahre,Universitätsklinikum,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Weder noch,Mittelmäßig,Gut,Weder noch,Nein,,4,5,5,5,5,3,4,5,1,4,3,4,3,1,3,4,4
47,2/27/24 10:36:01,2/27/24 10:38:11,anonymous,,,Einverstanden,35,Männlich,6 - 10 Jahre,Kommunales Krankenhaus,Städtisch (urban),Fachärztin/arzt,Vollzeit,60 - 79 h,Überwiegend Freizeitausgleich,Schlecht,Schlecht,Verschlimmert,Nein,,2,4,4,4,5,2,1,5,4,2,1,4,4,4,2,1,5
48,2/27/24 12:15:16,2/27/24 12:17:55,anonymous,,,Einverstanden,25,Weiblich,< 2 Jahre,Universitätsklinikum,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend vergütet,Mittelmäßig,Mittelmäßig,Weder noch,Nein,,3,2,3,3,3,4,2,4,2,1,1,3,1,2,2,2,5
49,2/27/24 12:24:02,2/27/24 12:28:47,anonymous,,,Einverstanden,38,Männlich,11 - 15 Jahre,Kommunales Krankenhaus,Vorstädtisch (suburban),Stellv. Chefärztin/arzt,Vollzeit,40 - 48 h,Überwiegend vergütet,Sehr gut,Sehr gut,Weder noch,Ja,flexible Arbeitszeitmodelle,5,5,5,5,4,1,1,1,1,4,2,4,4,3,4,5,4
50,2/27/24 15:23:04,2/27/24 15:26:12,anonymous,,,Einverstanden,46,Männlich,16 - 20 Jahre,Krankenhaus in privater Trägerschaft,Vorstädtisch (suburban),Oberärztin/arzt,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Schlecht,Verschlimmert,Nein,,4,4,4,5,4,4,2,4,2,4,5,4,2,5,4,4,1
51,2/27/24 16:17:22,2/27/24 16:20:20,anonymous,,,Einverstanden,36,Männlich,6 - 10 Jahre,Kommunales Krankenhaus,Städtisch (urban),Fachärztin/arzt,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Mittelmäßig,Schlecht,Verschlimmert,Nein,,2,2,3,2,4,3,2,2,2,3,2,2,1,4,2,2,4
52,2/27/24 16:28:28,2/27/24 16:33:48,anonymous,,,Einverstanden,32,Männlich,2 - 5 Jahre,Universitätsklinikum,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,40 - 48 h,Überwiegend vergütet,Gut,Mittelmäßig,Weder noch,Nein,,4,2,5,4,4,4,3,5,5,2,1,4,2,3,3,2,4
53,2/27/24 19:23:41,2/27/24 19:27:39,anonymous,,,Einverstanden,28,Männlich,< 2 Jahre,Krankenhaus in privater Trägerschaft,Vorstädtisch (suburban),Ärztin/Arzt in Weiterbildung,Vollzeit,40 - 48 h,Überwiegend vergütet,Gut,Gut,Weder noch,Ja,"Regenerationsphasen erhöht, Hygienemassnahmen verbessert


",4,3,4,4,4,3,3,2,4,3,2,4,4,4,4,4,3
54,2/27/24 19:27:53,2/27/24 19:30:17,anonymous,,,Einverstanden,58,Weiblich,> 20 Jahre,Universitätsklinikum,Städtisch (urban),Oberärztin/arzt,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Gut,Weder noch,Nein,,4,3,5,4,5,4,3,4,3,4,5,4,3,5,4,4,3
55,2/27/24 19:30:33,2/27/24 19:32:54,anonymous,,,Einverstanden,32,Weiblich,6 - 10 Jahre,Kirchliches Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Teilzeit,20 - 29 h,Überwiegend Freizeitausgleich,Sehr gut,Gut,Weder noch,Nein,,4,2,3,3,5,3,2,3,2,4,2,3,2,4,4,3,4
56,2/27/24 19:33:11,2/27/24 19:35:27,anonymous,,,Einverstanden,61,Männlich,> 20 Jahre,Kirchliches Krankenhaus,Ländlich (rural),Oberärztin/arzt,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Sehr gut,Mittelmäßig,Weder noch,Nein,,4,4,5,4,5,3,3,4,2,4,4,4,3,5,4,4,3
57,2/27/24 19:35:37,2/27/24 19:38:07,anonymous,,,Einverstanden,30,Weiblich,2 - 5 Jahre,Andere stationäre Einrichtung,Vorstädtisch (suburban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Mittelmäßig,Schlecht,Verschlimmert,Nein,,2,2,1,2,4,3,1,1,1,2,1,3,3,4,2,2,5
58,2/27/24 19:38:18,2/27/24 19:40:44,anonymous,,,Einverstanden,43,Männlich,11 - 15 Jahre,Kommunales Krankenhaus,Städtisch (urban),Oberärztin/arzt,Vollzeit,40 - 48 h,Überwiegend Freizeitausgleich,Gut,Mittelmäßig,Weder noch,Nein,,3,2,4,3,4,3,2,3,4,3,3,3,2,4,3,2,5
59,2/27/24 19:45:16,2/27/24 19:48:31,anonymous,,,Einverstanden,61,Männlich,> 20 Jahre,Kommunales Krankenhaus,Städtisch (urban),Chefärztin/arzt,Vollzeit,> 80 h,Weder noch,Sehr gut,Gut,Weder noch,Nein,,5,5,5,5,5,1,1,1,1,4,1,4,3,5,5,5,5
